"統計名：","鉄道輸送統計調査"
"表番号：","2-5-1"
"表題：","[鉄・軌道旅客輸送] 旅客営業キロ及び旅客数量 路線別"
"実施年月：","-","-"

"***","数字が得られないもの"
"…","資料がないか不明のもの"
"－","該当数字がないもの"

"","","","","","","/定期・定期外 コード","100","100","100","110","110","120","120"
"","","","","","","/定期・定期外 補助コード","-","-","-","-","-","-","-"
"","","","","","","/定期・定期外","計","計","計","定期","定期","定期外","定期外"
"","","","","","","/表章項目 コード","100","110","420","110","420","110","420"
"","","","","","","/表章項目 補助コード","-","-","-","-","-","-","-"
"年度次 コード","年度次 補助コード","年度次","路線 コード","路線 補助コード","路線","/表章項目","旅客営業キロ【キロメートル】","旅客数量【千人】","前年度比【%】","旅客数量【千人】","前年度比【%】","旅客数量【千人】","前年度比【%】"
"2021100000","","2021年度","310","","新幹線_山陽線","","644.0","39,363","122.8","8,179","105.4","31,184","128.3"
"2021100000","","2021年度","320","","新幹線_九州線","","288.9","7,977","112.8","2,392","102.0","5,585","118.2"
"2022100000","","2022年度","100","","函館線","","695.0","88,634","117.1","50,758","104.2","37,882","140.5"
"2022100000","","2022年度","110","","室蘭･千歳･石勝線","","409.6","38,886","123.5","19,857","104.2","19,026","153.0"
"2022100000","","2022年度","120","","根室線","","443.8","2,323","118.2","892","92.7","1,431","142.5"
"2022100000","","2022年度","130","","東北線","","1,341.5","1,354,056","111.9","839,780","104.2","514,276","127.2"
"2022100000","","2022年度","140","","常磐線","","351.0","403,998","108.5","274,700","104.4","129,298","118.3"
"2022100000","","2022年度","150","","奥羽線","","484.5","23,816","113.0","15,079","100.9","8,737","142.6"
"2022100000","","2022年度","160","","羽越線","","299.0","13,006","105.2","9,821","100.8","3,185","121.7"
"2022100000","","2022年度","170","","上越線","","542.7","180,316","114.6","111,437","104.3","68,879","136.6"
"2022100000","","2022年度","180","","信越線","","520.8","57,817","123.0","27,941","100.9","29,876","154.8"
"2022100000","","2022年度","190","","中央線","","489.3","1,087,295","112.6","650,318","105.9","436,977","124.1"
"2022100000","","2022年度","200","","東海道線","","1,360.6","2,284,122","113.1","1,374,754","103.8","909,368","130.6"
"2022100000","","2022年度","210","","北陸線","","250.7","54,860","114.3","34,363","103.1","20,497","140.1"
"2022100000","","2022年度","220","","山陽線","","1,226.8","408,658","112.6","255,882","102.6","152,776","134.5"
"2022100000","","2022年度","230","","山陰線","","676.0","54,783","112.1","34,860","101.9","19,923","135.7"
"2022100000","","2022年度","240","","予讃･土讃線","","549.1","28,107","112.1","17,820","101.2","10,287","137.7"
"2022100000","","2022年度","250","","鹿児島線","","837.7","207,157","111.9","135,317","103.7","71,840","131.6"
"2022100000","","2022年度","260","","日豊線","","462.6","46,135","108.7","31,473","101.7","14,662","127.5"
"2022100000","","2022年度","265","","新幹線_北海道線","","148.8","1,069","175.8","12","100.0","1,061","177.1"
"2022100000","","2022年度","270","","新幹線_東北線","","713.7","66,168","144.2","14,126","105.3","52,042","160.3"
"2022100000","","2022年度","280","","新幹線_上越線","","303.6","33,036","146.7","6,324","109.2","26,712","159.7"
"2022100000","","2022年度","290","","新幹線_東海道線","","552.6","133,609","155.9","13,550","108.7","120,059","164.0"
"2022100000","","2022年度","300","","新幹線_北陸線","","345.5","24,558","158.7","2,699","104.3","21,859","169.6"
"2022100000","","2022年度","310","","新幹線_山陽線","","644.0","60,017","152.5","8,635","105.6","51,382","164.8"
"2022100000","","2022年度","320","","新幹線_九州線","","358.5","12,384","155.2","2,738","114.5","9,646","172.7"
"2023100000","","2023年度","100","","函館線","","695.0","95,739","108.0","51,841","102.1","43,899","115.9"
"2023100000","","2023年度","110","","室蘭･千歳･石勝線","","409.6","44,309","113.9","20,622","103.9","23,696","124.5"
"2023100000","","2023年度","120","","根室線","","443.8","2,347","101.0","866","97.1","1,477","103.2"
"2023100000","","2023年度","130","","東北線","","1,341.5","1,464,638","108.2","877,988","104.5","586,650","114.1"
"2023100000","","2023年度","140","","常磐線","","351.0","427,131","105.7","285,393","103.9","141,738","109.6"
"2023100000","","2023年度","150","","奥羽線","","484.5","26,491","111.2","15,133","100.4","11,358","130.0"
"2023100000","","2023年度","160","","羽越線","","299.0","13,789","106.0","10,087","102.7","3,702","116.2"
"2023100000","","2023年度","170","","上越線","","542.7","195,350","108.3","114,690","102.9","80,660","117.1"
"2023100000","","2023年度","180","","信越線","","645.9","65,265","112.9","28,725","102.8","36,540","122.3"
"2023100000","","2023年度","190","","中央線","","489.3","1,168,659","107.5","682,926","105.0","485,733","111.2"
"2023100000","","2023年度","200","","東海道線","","1,360.6","2,468,298","108.1","1,441,490","104.9","1,026,808","112.9"
"2023100000","","2023年度","210","","北陸線","","120.0","56,138","102.3","33,187","96.6","22,951","112.0"
"2023100000","","2023年度","220","","山陽線","","1,226.8","433,394","106.1","259,963","101.6","173,431","113.5"
"2023100000","","2023年度","230","","山陰線","","676.0","58,457","106.7","35,234","101.1","23,223","116.6"
"2023100000","","2023年度","240","","予讃･土讃線","","549.1","29,850","106.2","18,148","101.8","11,702","113.8"
"2023100000","","2023年度","250","","鹿児島線","","837.7","222,808","107.6","140,776","104.0","82,039","114.2"
"2023100000","","2023年度","260","","日豊線","","462.6","49,272","106.8","32,262","102.5","17,010","116.0"
"2023100000","","2023年度","265","","新幹線_北海道線","","148.8","1,401","131.1","2","16.7","1,398","131.8"
"2023100000","","2023年度","270","","新幹線_東北線","","713.7","81,547","123.2","15,058","106.6","66,489","127.8"
"2023100000","","2023年度","280","","新幹線_上越線","","303.6","39,776","120.4","6,754","106.8","33,022","123.6"
"2023100000","","2023年度","290","","新幹線_東海道線","","552.6","160,705","120.3","14,638","108.0","146,067","121.7"
"2023100000","","2023年度","300","","新幹線_北陸線","","470.6","30,308","123.4","2,940","108.9","27,368","125.2"
